instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Columbia Basin College,19486,19486,21265,21071,21071,22850,11351,11351,13130,
Columbia College,38732,38732,38732,42312,42312,42312,30332,30332,30332,
Columbia College,38308,38308,38308,38308,38308,38308,29638,29638,29638,
Columbia College Chicago,53716,53716,53716,53716,53716,53716,35726,35726,35726,
Columbia Gorge Community College,22752,22752,27288,23640,23640,28176,10482,10482,15018,
Columbia International University,40270,40270,40270,40140,40140,40140,31120,31120,31120,
Columbia University in the City of New York,86097,86097,86097,87165,87165,87165,70953,70953,70953,
Columbus College of Art & Design,55030,55030,55030,55786,55786,55786,43520,43520,43520,
Columbus State University,22691,22691,33745,23073,23073,34127,11221,11221,22275,
Commonwealth Technical Institute,20826,20826,20826,25808,25808,25808,13648,13648,13648,
Commonwealth University of Pennsylvania,27098,27098,35169,26145,26145,34216,16848,16848,24919,
Conception Seminary College,41161,41161,41161,,,,,,,
Concord University,23518,23518,33758,23518,23518,33758,13428,13428,23668,
Concordia College at Moorhead,43396,43396,43396,42186,42186,42186,32886,32886,32886,
Concordia University Ann Arbor,50842,50842,50842,50842,50842,50842,42682,42682,42682,
Concordia University Texas,53614,53614,53614,47980,47980,47980,39924,39924,39924,
Concordia University-Chicago,48326,48326,48326,45514,45514,45514,37864,37864,37864,
Concordia University-Irvine,57420,57420,57420,63980,63980,63980,45780,45780,45780,
Concordia University-Nebraska,51350,51350,51350,51350,51350,51350,40560,40560,40560,
Concordia University-Saint Paul,38600,38600,38600,38600,38600,38600,28400,28400,28400,
Concordia University-Wisconsin,52322,52322,52322,51922,51922,51922,42762,42762,42762,
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,31500,31500,31500,31500,31500,31500,24500,24500,24500,
Connecticut College,82285,82285,82285,83285,83285,83285,65005,65005,65005,
Connors State College,18394,18394,22252,19605,19605,23463,11451,11451,15309,
Converse University,38424,38424,38424,39724,39724,39724,27060,27060,27060,
Copiah-Lincoln Community College,12950,12950,14950,12950,12950,14950,8550,8550,10550,
Coppin State University,22836,22836,29492,24531,24531,31187,11390,11390,18046,
Corban University,51455,51455,51455,52767,52767,52767,40767,40767,40767,
Cornell College,64736,64736,64736,64736,64736,64736,53864,53864,53864,
Cornell University,83196,83196,83196,83196,83196,83196,68982,68982,68982,
Cornerstone University,42660,42660,42660,42660,42660,42660,32140,32140,32140,
Cornish College of the Arts,55424,55424,55424,55424,55424,55424,41444,41444,41444,
Cottey College,37333,37333,37333,36093,36093,36093,28713,28713,28713,
Covenant College,53508,53508,53508,51120,51120,51120,44120,44120,44120,
Cowley County Community College,16200,16500,18000,16900,17200,18700,9900,10200,11700,
Creighton University,61420,61420,61420,61420,61420,61420,49390,49390,49390,
Criswell College,25974,25974,25974,30042,30042,30042,18792,18792,18792,
Crowder College,14720,16596,16596,17174,19050,19050,9640,11516,11516,
Crowley's Ridge College,26680,26680,26680,28010,28010,28010,19510,19510,19510,
Crown College,45266,45266,45266,46874,46874,46874,36924,36924,36924,
Culinary Institute of America,54530,54530,54530,53676,53676,53676,40846,40846,40846,
Culver-Stockton College,43427,43427,43427,45363,45363,45363,35729,35729,35729,
Cumberland University,42680,42680,42680,43620,43620,43620,40540,40540,40540,
CUNY Bernard M Baruch College,33084,33084,41034,32651,32651,40601,13193,13193,21143,
CUNY City College,31684,31684,39634,32527,32527,40477,13069,13069,21019,
CUNY Graduate School and University Center,35570,35570,43520,32597,32597,40547,13139,13139,21089,
CUNY Hunter College,25458,25458,33408,32569,32569,40519,13111,13111,21061,
CUNY Queens College,30352,30352,38302,32725,32725,40675,13267,13267,21217,
Curry College,65250,65250,65250,58770,58770,58770,48670,48670,48670,
Curtis Institute of Music,32572,32572,32572,37076,37076,37076,17880,17880,17880,
D'Youville  University,44870,44870,44870,44870,44870,44870,35370,35370,35370,
Daemen University,48890,48890,48890,38160,38160,38160,35260,35260,35260,
Dakota College at Bottineau,18188,18188,20628,18188,18188,20628,9723,9723,12163,
Dakota State University,24737,24737,27839,25061,25061,28163,18058,18058,21160,
Dakota Wesleyan University,42690,42690,42690,44390,44390,44390,36890,36890,36890,
Dallas Baptist University,49257,49257,49257,54000,54000,54000,42282,42282,42282,
Dallas Christian College,37000,37000,37000,37000,37000,37000,25780,25780,25780,
Dalton State College,16645,16645,23551,13308,13308,20214,6626,6626,13532,
Dartmouth College,83802,83802,83802,,,,,,,
Davenport University,37344,37344,37344,34300,34300,34300,29220,29220,29220,
Davidson College,75865,75865,75865,,,,,,,
Davis & Elkins College,45357,45357,45357,44312,44312,44312,36044,36044,36044,
Davis College,27200,27200,27200,26980,26980,26980,22080,22080,22080,
Dawson Community College,17335,19165,21865,16161,17991,20691,8485,10315,13015,
Dean College,64442,64442,64442,55875,55875,55875,46400,46400,46400,
Defiance College,50744,50744,50744,51944,51944,51944,41004,41004,41004,
Delaware College of Art and Design,51950,51950,51950,50400,50400,50400,37950,37950,37950,
Delaware State University,28906,28906,38828,31044,31044,40966,15922,15922,25844,
Delaware Valley University,59770,59770,59770,59770,59770,59770,48540,48540,48540,
Delta State University,22422,22422,22422,23605,23605,23605,14305,14305,14305,
Denison University,76900,76900,76900,76900,76900,76900,62500,62500,62500,
Denmark Technical College,25892,25892,31518,27386,27386,33012,19196,19196,24822,
DePaul University,62553,62553,62553,62553,62553,62553,48897,48897,48897,
DePauw University,72210,72210,72210,68710,68710,68710,58710,58710,58710,
Des Moines Area Community College,16048,16048,21388,18968,18968,24308,10506,10506,15846,
DeSales University,61274,61274,61274,57782,57782,57782,49912,49912,49912,
Dharma Realm Buddhist University,32200,32200,32200,,,,,,,
Dickinson College,80541,80541,80541,80604,80604,80604,64366,64366,64366,
Dickinson State University,21558,21558,23658,21558,21558,23658,13818,13818,15918,
DigiPen Institute of Technology,54444,54444,54444,54444,54444,54444,39332,39332,39332,
Dillard University,37724,37724,37724,36789,36789,36789,26994,26994,26994,
Dine College,12700,12700,12700,14680,14680,14680,10070,10070,10070,
Divine Word College,22020,22020,22020,22020,22020,22020,17920,17920,17920,
Doane University,55620,55620,55620,,,,,,,
Dodge City Community College,15686,16826,17186,17486,18626,18986,8486,9626,9986,
Dominican University,50122,50122,50122,50622,50622,50622,41572,41572,41572,
Dominican University New York,50690,50690,50690,47570,47570,47570,37570,37570,37570,
Dominican University of California,69189,69189,69189,73293,73293,73293,55023,55023,55023,
Dordt University,50100,50100,50100,51400,51400,51400,40070,40070,40070,
Drake University,63732,63732,63732,64407,64407,64407,52837,52837,52837,
Drew University,63501,63501,63501,66458,66458,66458,50056,50056,50056,
Drexel University,79145,79145,79145,79790,79790,79790,62165,62165,62165,
Drury University,49002,49002,49002,49002,49002,49002,38770,38770,38770,
Drury University-College of Continuing Professional Studies,22556,22556,22556,24454,24454,24454,12324,12324,12324,
Duke University,82749,82749,82749,,,,,,,
Dunwoody College of Technology,42897,42897,42897,42897,42897,42897,28743,28743,28743,
Duquesne University,63720,63720,63720,63720,63720,63720,50476,50476,50476,
Dutchess Community College,23093,23093,27693,23093,23093,27693,9923,9923,14523,
Earlham College,65851,65851,65851,61543,61543,61543,53403,53403,53403,
East Carolina University,23813,23813,40090,23813,23813,40090,20027,20027,36304,
East Central Community College,12739,12739,14839,14985,14985,17085,8845,8845,10945,
East Central University,20919,20919,30279,28241,28241,37601,13963,13963,23323,
East Georgia State College,18254,18254,24606,15308,15308,21660,8440,8440,14792,
East Mississippi Community College,13745,13745,16745,15461,15461,18461,8765,8765,11765,
East Stroudsburg University of Pennsylvania,26087,26087,34053,24303,24303,32269,15589,15589,23555,
East Tennessee State University,26997,26997,30807,31145,31145,34955,17384,17384,21194,
East Texas Baptist University,42581,42581,42581,40792,40792,40792,35074,35074,35074,
Eastern Arizona College,14918,14918,21878,24256,24256,31216,8142,8142,15102,
Eastern Connecticut State University,32206,32206,35442,26646,26646,29882,16890,16890,20126,
Eastern Florida State College,17948,17948,25191,16348,16348,23591,7924,7924,15167,
Eastern Illinois University,26797,26797,29224,26327,26327,28754,16903,16903,19330,
Eastern Iowa Community College District,17270,17270,18878,20870,20870,22478,10610,10610,12218,
Eastern Kentucky University,23004,23004,33382,24504,24504,34882,14144,14144,24522,
Eastern Maine Community College,20835,20835,23715,17359,17359,20239,10885,10885,13765,
Eastern Mennonite University,56900,56900,56900,53900,53900,53900,44900,44900,44900,
Eastern Michigan University,30976,30976,30976,31846,31846,31846,21260,21260,21260,
Eastern Nazarene College,42590,42590,42590,42590,42590,42590,31890,31890,31890,
Eastern New Mexico University-Main Campus,20765,20765,22745,20437,20437,22417,11478,11478,13458,
Eastern Oklahoma State College,15584,15584,19201,16500,16500,20117,8730,8730,12347,
Eastern Oregon University,25506,25506,38691,25506,25506,38691,14736,14736,27921,
Eastern University,54532,54532,54532,49092,49092,49092,42108,42108,42108,
Eastern Washington University,26545,26545,44935,23306,23306,41696,12806,12806,31196,
Eastern Wyoming College,15936,15936,22236,15936,15936,22236,8840,8840,15140,
Ecclesia College,32630,32630,32630,32630,32630,32630,26630,26630,26630,
Eckerd College,67204,67204,67204,67204,67204,67204,52756,52756,52756,
Edgewood College,49382,49382,49382,48460,48460,48460,37660,37660,37660,
Edmonds College,19720,19722,25542,28193,28195,34015,8446,8448,14268,
Edward Waters University,27164,27164,27164,28146,28146,28146,19154,19154,19154,
Elim Bible Institute and College,20205,20205,20205,25005,25005,25005,13035,13035,13035,
Elizabeth City State University,14673,14673,18673,13656,13656,17656,5946,5946,9946,
Elizabethtown College,50462,50462,50462,45821,45821,45821,38020,38020,38020,
Ellsworth Community College,19284,19284,20292,19284,19284,20292,11184,11184,12192,
Elmhurst University,55992,55992,55992,56708,56708,56708,45842,45842,45842,
Elmira College,51542,51542,51542,40654,40654,40654,39654,39654,39654,
Elon University,59627,59627,59627,59627,59627,59627,45391,45391,45391,
Embry-Riddle Aeronautical University-Daytona Beach,59972,59972,59972,59972,59972,59972,47098,47098,47098,
Embry-Riddle Aeronautical University-Prescott,60158,60158,60158,60158,60158,60158,46998,46998,46998,
Emerson College,77370,77370,77370,74986,74986,74986,58336,58336,58336,
Emmanuel College,65090,65090,65090,65090,65090,65090,48990,48990,48990,
Emmanuel University,36137,36137,36137,39189,39189,39189,27139,27139,27139,
Emmaus Bible College,31100,31100,31100,26730,26730,26730,21780,21780,21780,
Emory & Henry University,53055,53055,53055,47755,47755,47755,39255,39255,39255,
Emory University,78814,78814,78814,78814,78814,78814,61798,61798,61798,
Emory University-Oxford College,78814,78814,78814,78814,78814,78814,61798,61798,61798,
Emporia State University,21659,21659,29576,21659,21659,29576,12351,12351,20268,
Endicott College,58038,58038,58038,54337,54337,54337,41080,41080,41080,
Erskine College,55160,55160,55160,53260,53260,53260,50710,50710,50710,
Eureka College,40933,40933,40933,43064,43064,43064,32680,32680,32680,
Evangel University,40032,40032,40032,37888,37888,37888,30856,30856,30856,
Evangel University-James River Assembly of God Church,29294,29294,29294,28284,28284,28284,21252,21252,21252,
Everett Community College,25101,25101,30780,25101,25101,30780,8316,8316,13995,
Fairfield University,74085,74085,74085,74085,74085,74085,57885,57885,57885,
Fairleigh Dickinson University-Florham Campus,56390,56390,56390,57820,57820,57820,42232,42232,42232,
Fairleigh Dickinson University-Metropolitan Campus,56390,56390,56390,57820,57820,57820,42232,42232,42232,
Fairmont State University,21030,21030,30858,21030,21030,30858,11508,11508,21336,
Faith Baptist Bible College and Theological Seminary,30719,30719,30719,30719,30719,30719,23179,23179,23179,
Family of Faith Christian University,26242,26242,26242,26242,26242,26242,13985,13985,13985,
Farmingdale State College,26024,26024,35934,27219,27219,37129,13026,13026,22936,
Fashion Institute of Technology,38420,38420,49000,38420,38420,49000,17220,17220,27800,
Faulkner University,38340,38340,38340,38340,38340,38340,30320,30320,30320,
Fayetteville State University,17236,17236,21236,16862,16862,20862,7796,7796,11796,
Feather River Community College District,16747,16747,24817,25257,25257,33327,6987,6987,15057,
Felician University,54480,54480,54480,51240,51240,51240,41910,41910,41910,
Ferris State University,26676,26676,26676,25458,25458,25458,16876,16876,16876,
Ferrum College,55100,55100,55100,55100,55100,55100,43000,43000,43000,
Finger Lakes Community College,25135,25135,26167,24022,24022,25054,10214,10214,11246,
Finlandia University,40454,40454,40454,39346,39346,39346,31046,31046,31046,
Fisher College,56690,56690,56690,49350,49350,49350,39350,39350,39350,
Fisk University,40278,40278,40278,40278,40278,40278,28778,28778,28778,
Fitchburg State University,27737,27737,33817,24871,24871,30951,14621,14621,20701,
Five Towns College,46245,46245,46245,48045,48045,48045,31945,31945,31945,
Flagler College,42450,42450,42450,40560,40560,40560,28860,28860,28860,
Flathead Valley Community College,18978,20202,25278,18356,19580,24656,10506,11730,16806,
Florida Agricultural and Mechanical University,24153,24153,36093,23345,23345,35285,13473,13473,25413,
Florida Atlantic University,24853,24853,37298,28627,28627,41072,13787,13787,26232,
Florida College,32760,32760,32760,35110,35110,35110,21560,21560,21560,
Florida Gateway College,11767,11767,20414,13569,13569,22216,6367,6367,15014,
Florida Gulf Coast University,20490,20490,39534,20390,20390,39434,10718,10718,29762,
Florida Institute of Technology,61016,61016,61016,60810,60810,60810,49490,49490,49490,
Florida International University,24881,24881,37279,28261,28261,40659,16675,16675,29073,
Florida Memorial University,31996,31996,31996,37436,37436,37436,25436,25436,25436,
Florida Polytechnic University,20720,20720,36785,20720,20720,36785,10140,10140,26205,
Florida Southern College,57200,57200,57200,57200,57200,57200,44800,44800,44800,
Florida SouthWestern State College,18803,18803,28381,22837,22837,32415,10082,10082,19660,
Florida State College at Jacksonville,14589,14649,21703,14674,14734,21788,5728,5788,12842,
Florida State University,23780,23780,36910,23780,23780,36910,12188,12188,25318,
Fond du Lac Tribal and Community College,20867,20867,20867,20041,20041,20041,11449,11449,11449,
Fontbonne University,45732,45732,45732,45112,45112,45112,36714,36714,36714,
Fordham University,83666,83666,83666,76318,76318,76318,62536,62536,62536,
Fort Hays State University,19615,19615,30055,19615,19615,30055,10314,10314,20754,
Fort Lewis College,27022,27022,37534,26878,26878,37390,13576,13576,24088,
Fort Scott Community College,15158,15608,15608,15158,15608,15608,7535,7985,7985,
Fort Valley State University,20704,20704,31444,15832,15832,26572,7832,7832,18572,
Framingham State University,28120,28120,34200,28120,28120,34200,19450,19450,25530,
Francis Marion University,24467,24467,34851,24530,24530,34914,16300,16300,26684,
Franciscan University of Steubenville,43540,43540,43540,40250,40250,40250,34450,34450,34450,
Frank Phillips College,14986,15886,16156,21801,22701,22971,10012,10912,11182,
Franklin and Marshall College,83354,83354,83354,83354,83354,83354,70720,70720,70720,
Franklin College,51991,51991,51991,51998,51998,51998,42536,42536,42536,
Franklin Pierce University,61955,61955,61955,62655,62655,62655,47655,47655,47655,
Franklin W Olin College of Engineering,81486,81486,81486,,,,,,,
Freed-Hardeman University,37300,37300,37300,33100,33100,33100,27600,27600,27600,
Fresno Pacific University,47115,47115,47115,50216,50216,50216,38493,38493,38493,
Friends University,45812,45812,45812,45627,45627,45627,37486,37486,37486,
Frostburg State University,26500,26500,41380,26500,26500,41380,15860,15860,30740,
Furman University,73920,73920,73920,73920,73920,73920,59872,59872,59872,
Gadsden State Community College,12708,12708,15708,13000,13000,16000,8500,8500,11500,
Gallaudet University,39712,39712,39712,39712,39712,39712,24912,24912,24912,
Galveston College,16729,17449,19909,18820,19540,22000,9252,9972,12432,
Gannon University,56104,56104,56104,56104,56104,56104,40694,40694,40694,
Garden City Community College,18274,18334,18904,19290,19350,19920,11149,11209,11779,
Gardner-Webb University,46770,46770,46770,41900,41900,41900,38900,38900,38900,
Garrett College,15436,21456,23584,16476,22496,24624,7976,13996,16124,
Genesee Community College,18305,18305,18905,18305,18305,18905,10120,10120,10720,
Geneva College,44640,44640,44640,37790,37790,37790,33790,33790,33790,
George C Wallace State Community College-Hanceville,20540,20540,24290,29180,29180,32930,15640,15640,19390,
George Fox University,56390,56390,56390,56390,56390,56390,43340,43340,43340,
George Mason University,31303,31303,56885,36243,36243,61825,19355,19355,44937,
George Washington University,80945,80945,80945,80945,80945,80945,65225,65225,65225,
Georgetown College,56374,56374,56374,55316,55316,55316,46054,46054,46054,
Georgetown University,84696,84696,84696,,,,,,,
Georgia College & State University,27922,27922,47102,25398,25398,44578,17258,17258,36438,
Georgia Gwinnett College,25488,25488,34274,25488,25488,34274,11168,11168,19954,
Georgia Institute of Technology-Main Campus,28106,28106,49218,28106,28106,49218,21764,21764,42876,
Georgia Military College,19058,19058,19058,24719,24719,24719,13383,13383,13383,
Georgia Southern University,25475,25475,36529,25241,25241,36295,15427,15427,26481,
Georgia Southwestern State University,20110,20110,30832,19230,19230,29952,16560,16560,27282,
Georgia State University,28957,28957,44188,31738,31738,46969,16847,16847,32078,
Georgian Court University,53712,53712,53712,51298,51298,51298,41416,41416,41416,
Gettysburg College,78900,78900,78900,78900,78900,78900,63970,63970,63970,
Glen Oaks Community College,17434,19018,19882,15030,16614,17478,8426,10010,10874,
Glenville State University,24222,24222,25882,24222,24222,25882,13448,13448,15108,
Goddard College,22411,22411,22411,39263,39263,39263,27263,27263,27263,
Gods Bible School and College,17034,17034,17034,21604,21604,21604,11833,11833,11833,
Gogebic Community College,15542,17309,18208,16918,18685,19584,9942,11709,12608,
Goldey-Beacom College,27690,27690,27690,32920,32920,32920,17350,17350,17350,
Gonzaga University,69707,69707,69707,71968,71968,71968,55913,55913,55913,
Goodwin University,34370,34370,34370,46232,46232,46232,29904,29904,29904,
Gordon College,41390,41390,41390,41990,41990,41990,30040,30040,30040,
Gordon State College,16808,16808,23714,15388,15388,22294,7517,7517,14423,
Goshen College,51410,51410,51410,49230,49230,49230,40310,40310,40310,
Goucher College,70000,70000,70000,63220,63220,63220,53220,53220,53220,
Governors State University,25568,25568,33080,26206,26206,33718,14568,14568,22080,
Grace Christian University,26122,26122,26122,25887,25887,25887,17940,17940,17940,
Grace College and Theological Seminary,41324,41324,41324,41248,41248,41248,32848,32848,32848,
Graceland University-Lamoni,46850,46850,46850,46850,46850,46850,36750,36750,36750,
Grambling State University,25663,25663,34686,24605,24605,33628,14613,14613,23636,
Grand Canyon University,32100,32100,32100,32100,32100,32100,24300,24300,24300,
Grand Valley State University,27197,27197,33101,25409,25409,31313,17057,17057,22961,
Grand View University,48374,48374,48374,49352,49352,49352,38486,38486,38486,
Grayson College,14026,15286,16846,18442,19702,21262,7938,9198,10758,
Great Basin College,15343,15343,24607,15843,15843,25107,9343,9343,18607,
Great Lakes Christian College,27555,27555,27555,31314,31314,31314,18955,18955,18955,
Great Northern University,32695,32695,32695,32695,32695,32695,21130,21130,21130,
Greensboro College,35500,35500,35500,34660,34660,34660,26660,26660,26660,
Greenville University,44002,44002,44002,47822,47822,47822,36978,36978,36978,
Grinnell College,79628,79628,79628,,,,,,,
Grove City College,32890,32890,32890,32890,32890,32890,21840,21840,21840,
Guilford College,56810,56810,56810,56810,56810,56810,43910,43910,43910,
Gustavus Adolphus College,66120,66120,66120,66120,66120,66120,55110,55110,55110,
Gwynedd Mercy University,55740,55740,55740,58076,58076,58076,46522,46522,46522,
Hamilton College,80380,80380,80380,,,,,,,
Hamline University,59749,59749,59749,59749,59749,59749,48536,48536,48536,
Hampden-Sydney College,67374,67374,67374,65148,65148,65148,53990,53990,53990,
Hampshire College,71374,71374,71374,71374,71374,71374,56942,56942,56942,
Hampton University,46048,46048,46048,47748,47748,47748,33062,33062,33062,
Hannibal-LaGrange University,39600,39600,39600,41000,41000,41000,32000,32000,32000,
Hanover College,57407,57407,57407,57407,57407,57407,44259,44259,44259,
Harcum College,43435,43435,43435,40985,40985,40985,38295,38295,38295,
Hardin-Simmons University,45919,45919,45919,45919,45919,45919,37547,37547,37547,
Harding University,35864,35864,35864,35864,35864,35864,27880,27880,27880,
Harris-Stowe State University,23769,23769,28401,22218,22218,26850,14078,14078,18710,
Harrisburg University of Science and Technology,35550,35550,35550,36450,36450,36450,27300,27300,27300,
Hartwick College,66737,66737,66737,58409,58409,58409,52409,52409,52409,
Harvard University,83538,83538,83538,,,,,,,
Harvey Mudd College,84896,84896,84896,74799,74799,74799,67680,67680,67680,
Haskell Indian Nations University,8650,8650,8650,20417,20417,20417,9380,9380,9380,
Hastings College,49912,49912,49912,48912,48912,48912,38722,38722,38722,
Haverford College,84748,84748,84748,84748,84748,84748,66766,66766,66766,
Hawaii Community College,16706,16706,21842,22432,22432,27568,9617,9617,14753,
Hawaii Pacific University,50818,50818,50818,50818,50818,50818,35540,35540,35540,
Hawaii Tokai International College,17910,17910,23310,25410,25410,30810,8610,8610,14010,
Hebrew Theological College,35400,35400,35400,41390,41390,41390,21742,21742,21742,
Heidelberg University,47870,47870,47870,43350,43350,43350,36600,36600,36600,
Hellenic College-Holy Cross Greek Orthodox School of Theology,41282,41282,41282,43690,43690,43690,27090,27090,27090,
Henderson State University,27094,27094,29302,26464,26464,28672,17952,17952,20160,
Hendrix College,52700,52700,52700,49500,49500,49500,39100,39100,39100,
Heritage Christian University,21737,21737,21737,31649,31649,31649,16304,16304,16304,
Herkimer County Community College,22240,22240,22240,22240,22240,22240,9830,9830,9830,
Hesston College,44946,44946,44946,47352,47352,47352,34752,34752,34752,
High Point University,62190,62190,62190,57916,57916,57916,45416,45416,45416,
Highland Community College,14687,14687,14687,15076,15076,15076,6563,6563,6563,
Highlands College of Montana Tech,19752,19752,25722,19752,19752,25722,7959,7959,13929,
Highline College,21282,21282,21772,25134,25134,25624,8622,8622,9112,
Hilbert College,46050,46050,46050,37950,37950,37950,32550,32550,32550,
Hill College,13445,14195,14595,18969,19719,20119,11045,11795,12195,
Hillsborough Community College,18208,18208,24813,18208,18208,24813,8546,8546,15151,
Hillsdale College,46602,46602,46602,46602,46602,46602,34102,34102,34102,
Hinds Community College,12150,12150,15200,14414,14414,17464,8246,8246,11296,
Hiram College,39472,39472,39472,38556,38556,38556,31772,31772,31772,
Hobart William Smith Colleges,80635,80635,80635,78600,78600,78600,63725,63725,63725,
Hobe Sound Bible College,18140,18140,18140,17600,17600,17600,9060,9060,9060,
Hocking College,19610,19610,24120,18010,18010,22520,10018,10018,14528,
Hofstra University,73548,73548,73548,80824,80824,80824,56784,56784,56784,
Hollins University,59250,59250,59250,57535,57535,57535,46510,46510,46510,
Holmes Community College,13260,13260,15960,14510,14510,17210,9910,9910,12610,
Holy Apostles College and Seminary,25600,25600,25600,25090,25090,25090,12040,12040,12040,
Holy Cross College,49300,49300,49300,46300,46300,46300,37300,37300,37300,
Holy Family University,49174,49174,49174,45762,45762,45762,35126,35126,35126,
Holy Names University,60592,60592,60592,65911,65911,65911,47641,47641,47641,
Hood College,62870,62870,62870,62206,62206,62206,49314,49314,49314,
Hope College,53210,53210,53210,48410,48410,48410,41830,41830,41830,
Hope International University,52953,52953,52953,59496,59496,59496,41226,41226,41226,
Houghton University,30632,30632,30632,27846,27846,27846,20846,20846,20846,
Houston Christian University,51642,51642,51642,53520,53520,53520,43720,43720,43720,
Howard College,14127,15687,17137,17856,19416,20866,8464,10024,11474,
Howard Payne University,45462,45462,45462,44942,44942,44942,35890,35890,35890,
Howard University,51450,51450,51450,59526,59526,59526,35570,35570,35570,
Hult International Business School,75085,75085,75085,75085,75085,75085,55225,55225,55225,
Huntingdon College,41490,41490,41490,39490,39490,39490,30718,30718,30718,
Huntington University,41804,41804,41804,39954,39954,39954,31154,31154,31154,
Husson University,35381,35381,35381,36310,36310,36310,24760,24760,24760,
Huston-Tillotson University,25652,25652,25652,27913,27913,27913,17203,17203,17203,
Hutchinson Community College,15638,15938,16868,16684,16984,17914,9088,9388,10318,
Idaho State University,22514,22514,40492,23258,23258,41236,14888,14888,32866,
Ilisagvik College,21790,21790,21790,23670,23670,23670,10670,10670,10670,
Illinois College,47810,47810,47810,44146,44146,44146,39046,39046,39046,
Illinois Institute of Technology,71910,71910,71910,69640,69640,69640,57040,57040,57040,
Illinois State University,32458,32458,44299,31662,31662,43503,21756,21756,33597,
Illinois Wesleyan University,68732,68732,68732,68732,68732,68732,55614,55614,55614,
Immaculata University,46470,46470,46470,46470,46470,46470,33990,33990,33990,
Imperial Valley College,17697,17697,23217,26644,26644,32164,7146,7146,12666,
Independence Community College,14376,14556,14766,13876,14056,14266,6614,6794,7004,
Indian Bible College,17263,17263,17263,18540,18540,18540,9637,9637,9637,
Indian Hills Community College,15201,15201,16641,19092,19092,20532,9696,9696,11136,
Indiana Institute of Technology,45144,45144,45144,43659,43659,43659,35518,35518,35518,
Indiana State University,24662,24662,36090,25106,25106,36534,13756,13756,25184,
Indiana University of Pennsylvania-Main Campus,27042,27042,34649,27042,27042,34649,15500,15500,23107,
Indiana University-Bloomington,27457,27457,55130,27457,27457,55130,16529,16529,44202,
Indiana University-Indianapolis,24780,24780,47218,26478,26478,48916,15226,15226,37664,
Indiana University-South Bend,20455,20455,33815,22375,22375,35735,10383,10383,23743,
Indiana University-Southeast,22277,22277,35637,22375,22375,35735,10383,10383,23743,
Indiana Wesleyan University-Marion,43202,43202,43202,40800,40800,40800,36552,36552,36552,
Institute of American Indian and Alaska Native Culture and Arts Development,24229,24229,24229,27209,27209,27209,13561,13561,13561,
Inter American University of Puerto Rico-Bayamon,22307,22307,22307,23693,23693,23693,14075,14075,14075,
Inter American University of Puerto Rico-Metro,25957,25957,25957,23693,23693,23693,14075,14075,14075,
Inter American University of Puerto Rico-San German,19907,19907,19907,23693,23693,23693,14075,14075,14075,
International Baptist College and Seminary,28437,28437,28437,30958,30958,30958,19105,19105,19105,
International Business College-Indianapolis,25531,25531,25531,23889,23889,23889,19427,19427,19427,
Iona University,65418,65418,65418,65418,65418,65418,48178,48178,48178,
Iowa Central Community College,17731,17731,19933,18082,18082,20284,9980,9980,12182,
Iowa Lakes Community College,20534,20534,20982,22834,22834,23282,12604,12604,13052,
Iowa State University,23472,23472,39956,23472,23472,39956,14114,14114,30598,
Iowa Wesleyan University,48340,48340,48340,44610,44610,44610,37500,37500,37500,
Iowa Western Community College,20597,20597,20747,20255,20255,20405,12134,12134,12284,
Itawamba Community College,11325,11325,13525,15290,15290,17490,9460,9460,11660,
Ithaca College,66235,66235,66235,66235,66235,66235,52651,52651,52651,
Jackson College,18737,19427,21377,20347,21037,22987,10347,11037,12987,
Jackson State University,29523,29523,30523,29523,29523,30523,17078,17078,18078,
Jacksonville College-Main Campus,18544,18544,18544,19384,19384,19384,10680,10680,10680,
Jacksonville State University,23990,23990,33950,26240,26240,36200,16268,16268,26228,
Jacksonville University,62982,62982,62982,65746,65746,65746,48016,48016,48016,
James Madison University,30508,30508,47568,30508,30508,47568,18468,18468,35528,
Jamestown Community College,22660,22660,27960,20690,20690,25990,13850,13850,19150,
Jarvis Christian University,25280,25280,25280,24015,24015,24015,15720,15720,15720,
Jefferson College,14996,16766,18536,18973,20743,22513,10270,12040,13810,
Jefferson Community College,21972,21972,21972,21972,21972,21972,12782,12782,12782,
Jewish Theological Seminary of America,86621,86621,86621,,,,,,,
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,42370,42370,48790,47124,47124,53544,33905,33905,40325,
Joe Kubert School of Cartoon and Graphic Art,32280,32280,32280,31330,31330,31330,23250,23250,23250,
Joffrey Ballet School,48645,48645,48645,46495,46495,46495,30045,30045,30045,
John Brown University,43260,43260,43260,35870,35870,35870,33370,33370,33370,
